Race of Victims (Multiple races including white);State;Race;Execution Volunteer;Foreign National;Region;Sex;Table Name
Latino;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;South Carolina;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;Native American;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Asian;South Carolina;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Louisiana;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Missouri;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Arizona;White;Not a Volunteer;Not a Foreign National;West;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Multiple Races (including White);South Carolina;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Arizona;Native American;Not a Volunteer;Not a Foreign National;West;Male;ExecutionsPS
White;Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Asian;California;Asian;Not a Volunteer;Foreign National;West;Male;ExecutionsPS
Latino;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Arkansas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Ohio;White;Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Arizona;White;Not a Volunteer;Foreign National;West;Male;ExecutionsPS
White;Arizona;White;Not a Volunteer;Foreign National;West;Male;ExecutionsPS
White;Virginia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Illinois;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Virginia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;North Carolina;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Nevada;Asian;Volunteer;Foreign National;West;Male;ExecutionsPS
White;Arkansas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Missouri;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Virginia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Delaware;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Missouri;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Texas;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Multiple Races (including White);Virginia;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;California;Black;Not a Volunteer;Not a Foreign National;West;Male;ExecutionsPS
Latino;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Arizona;White;Not a Volunteer;Not a Foreign National;West;Male;ExecutionsPS
Black;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Kentucky;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Missouri;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Latino;Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Missouri;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Arizona;White;Not a Volunteer;Not a Foreign National;West;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
White;Alabama;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Texas;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Pennsylvania;White;Volunteer;Not a Foreign National;Northeast;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Virginia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Alabama;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
Asian;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Arkansas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Arkansas;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Delaware;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;North Carolina;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Utah;White;Volunteer;Not a Foreign National;West;Male;ExecutionsPS
Black;Virginia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;North Carolina;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Latino;Arizona;Latino;Not a Volunteer;Not a Foreign National;West;Male;ExecutionsPS
White;Texas;Native American;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Virginia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;South Carolina;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;North Carolina;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;South Carolina;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Indiana;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Alabama;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Oklahoma;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Arizona;White;Not a Volunteer;Not a Foreign National;West;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Female;ExecutionsPS
Black;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Alabama;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Asian;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;California;Native American;Not a Volunteer;Not a Foreign National;West;Male;ExecutionsPS
White;Arizona;White;Not a Volunteer;Not a Foreign National;West;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Latino;Virginia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Missouri;White;Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Oklahoma;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Alabama;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Tennessee;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Arkansas;White;Volunteer;Not a Foreign National;South;Female;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Oklahoma;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;Native American;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Alabama;Black;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Louisiana;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Florida;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Latino;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Multiple Races (including White);Virginia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
Black;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Missouri;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Virginia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Other;Virginia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;South Carolina;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Arizona;White;Not a Volunteer;Not a Foreign National;West;Male;ExecutionsPS
White;North Carolina;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
Black;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Delaware;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Virginia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;Latino;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Arkansas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Latino;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Oklahoma;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Oklahoma;Black;Not a Volunteer;Not a Foreign National;South;Female;ExecutionsPS
White;Oklahoma;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Latino;Oklahoma;Native American;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Multiple Races (including White);Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Multiple Races (including White);Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
Latino;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;North Carolina;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Indiana;White;Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;California;White;Volunteer;Not a Foreign National;West;Male;ExecutionsPS
White;Oklahoma;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;Black;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
White;Florida;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
White;Virginia;Other Race;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
White;Virginia;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
Latino;Florida;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
Latino;Texas;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
Latino;Texas;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
Latino;Texas;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
Latino;Texas;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
Latino;Texas;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
Latino;Texas;Latino;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
Asian;Oklahoma;Asian;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
Latino;Florida;Latino;Volunteer;Foreign National;South;Male;ExecutionsPS
White;Nevada;White;Volunteer;Foreign National;West;Male;ExecutionsPS
Other;Oklahoma;Other Race;Not a Volunteer;Foreign National;South;Male;ExecutionsPS
White;Georgia;White;Not a Volunteer;Not a Foreign National;South;Female;ExecutionsPS
White;Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Female;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Female;ExecutionsPS
White;Virginia;White;Not a Volunteer;Not a Foreign National;South;Female;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Female;ExecutionsPS
White;Oklahoma;White;Not a Volunteer;Not a Foreign National;South;Female;ExecutionsPS
Black;Texas;Black;Not a Volunteer;Not a Foreign National;South;Female;ExecutionsPS
Black;Texas;Black;Not a Volunteer;Not a Foreign National;South;Female;ExecutionsPS
White;Alabama;White;Volunteer;Not a Foreign National;South;Female;ExecutionsPS
White;Florida;White;Volunteer;Not a Foreign National;South;Female;ExecutionsPS
White;Missouri;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Missouri;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Missouri;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Ohio;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Ohio;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Ohio;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Ohio;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Ohio;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Missouri;Black;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Indiana;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Missouri;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Ohio;White;Not a Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
